Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
2.0;2.0;2;1.0;1.0;1.0;23.0;;;;10.0;1;10;72;93.0;9.0;9.0;9.0;2;153;0;1
9.0;9.0;2;2.0;1.0;1.0;30.0;;;;10.0;1;0;91;91.0;10.0;9.0;10.0;9;2028;0;1
1.0;1.0;2;1.0;1.0;1.0;33.0;185.0;740.0;;10.0;1;0;248;98.0;10.0;10.0;10.0;1;1367;0;1
1.0;1.0;8;3.5;4.0;6.0;180.0;;;;;1;0;18;91.0;9.0;9.0;9.0;1;1099;1;0
1.0;1.0;2;1.0;1.0;2.0;27.0;;;;;1;19;311;84.0;8.0;9.0;9.0;1;272;0;1
2.0;2.0;5;1.0;3.0;4.0;98.0;;;;20.0;1;0;277;92.0;10.0;10.0;10.0;2;596;1;0
1.0;1.0;5;1.0;3.0;3.0;80.0;;;;25.0;2;30;331;92.0;9.0;9.0;10.0;1;2418;1;0
1.0;1.0;6;2.0;2.0;3.0;75.0;;1800.0;150.0;30.0;2;10;258;95.0;10.0;9.0;10.0;1;1768;1;0
1.0;1.0;2;1.5;1.0;1.0;40.0;;;91.0;15.0;1;30;347;95.0;9.0;9.0;9.0;1;830;0;1
1.0;1.0;2;1.0;1.0;1.0;25.0;;;;10.0;1;0;0;;;;;1;987;0;1
1.0;1.0;2;1.0;1.0;1.0;22.0;;;150.0;;1;20;283;99.0;10.0;10.0;10.0;1;648;0;1
12.0;12.0;6;1.0;2.0;3.0;80.0;;;200.0;;4;20;206;96.0;10.0;10.0;9.0;12;477;1;0
2.0;2.0;2;1.0;1.0;1.0;45.0;;;;15.0;1;0;337;100.0;10.0;8.0;8.0;2;469;0;1
1.0;1.0;3;1.0;3.0;2.0;70.0;;;;12.0;1;0;323;98.0;10.0;10.0;9.0;1;1007;1;0
9.0;9.0;6;3.0;1.0;3.0;45.0;;;100.0;;2;18;176;93.0;10.0;9.0;10.0;9;494;0;1
2.0;2.0;8;2.0;3.0;6.0;72.0;;;;;4;15;268;98.0;10.0;10.0;8.0;2;1676;1;0
1.0;1.0;4;1.0;1.0;2.0;52.0;;;;;1;0;250;60.0;10.0;10.0;8.0;1;246;1;0
4.0;4.0;8;2.0;3.0;4.0;160.0;;;300.0;40.0;2;10;243;99.0;10.0;10.0;10.0;4;401;1;0
40.0;40.0;6;2.0;3.0;5.0;240.0;;;700.0;140.0;1;0;340;100.0;10.0;10.0;10.0;37;778;1;0
164.0;164.0;6;2.0;3.0;3.0;130.0;;2650.0;200.0;60.0;2;10;278;80.0;10.0;10.0;10.0;145;932;1;0
1.0;1.0;4;1.0;1.0;2.0;105.0;450.0;1407.0;188.0;;1;0;364;;;;;1;576;0;1
4.0;4.0;4;1.0;1.0;2.0;55.0;420.0;1600.0;100.0;30.0;2;15;305;89.0;9.0;9.0;10.0;3;1286;1;0
40.0;40.0;4;2.0;3.0;3.0;180.0;;;700.0;140.0;1;0;326;94.0;10.0;10.0;10.0;37;778;1;0
39.0;39.0;4;1.0;0.0;3.0;89.0;;;;;1;0;324;;;;;29;239;1;0
1.0;1.0;4;1.0;1.0;2.0;99.0;;;150.0;;1;0;283;99.0;10.0;10.0;10.0;1;444;1;0
3.0;3.0;2;1.0;1.0;1.0;89.0;540.0;2500.0;100.0;25.0;1;10;66;98.0;10.0;10.0;10.0;2;1697;1;0
40.0;40.0;8;3.5;4.0;6.0;280.0;;;700.0;180.0;6;0;320;91.0;9.0;9.0;10.0;37;778;1;0
1.0;1.0;4;1.0;1.0;2.0;65.0;;;;40.0;2;10;170;89.0;9.0;9.0;9.0;1;1405;1;0
1.0;1.0;2;1.0;1.0;1.0;22.0;150.0;550.0;;10.0;1;5;280;93.0;9.0;9.0;9.0;1;1452;0;1
2.0;2.0;1;1.0;1.0;1.0;22.0;;;;;1;0;44;;;;;2;1149;0;1
1.0;1.0;2;1.0;1.0;1.0;42.0;;;;;1;0;28;100.0;10.0;10.0;9.0;1;1291;0;0
4.0;4.0;4;1.0;2.0;2.0;70.0;;;;24.0;2;10;97;70.0;9.0;7.0;10.0;4;1793;1;0
1.0;1.0;4;1.0;1.0;2.0;60.0;;;;30.0;2;15;32;98.0;10.0;10.0;10.0;1;338;1;0
1.0;1.0;1;1.0;1.0;1.0;20.0;;;;;1;0;365;100.0;10.0;10.0;9.0;1;348;0;1
2.0;2.0;1;0.5;1.0;1.0;15.0;125.0;390.0;;20.0;1;0;320;;;;;1;1039;0;0
1.0;1.0;1;1.0;1.0;1.0;18.0;;;;10.0;1;0;320;98.0;10.0;10.0;10.0;1;380;0;1
2.0;2.0;2;1.0;1.0;2.0;25.0;;;;15.0;1;15;161;100.0;10.0;10.0;10.0;2;1089;0;1
14.0;14.0;3;1.0;1.0;2.0;90.0;;;;;1;0;329;83.0;9.0;9.0;8.0;5;1360;1;0
1.0;1.0;1;1.0;1.0;2.0;30.0;150.0;410.0;200.0;;1;0;250;99.0;10.0;10.0;10.0;1;2050;0;1
3.0;3.0;4;1.0;1.0;3.0;59.0;;;95.0;10.0;2;5;129;85.0;9.0;8.0;10.0;2;1048;1;0
2.0;2.0;2;1.0;1.0;2.0;40.0;;;100.0;;1;15;117;;;;;2;1069;0;1
34.0;34.0;2;1.0;1.0;1.0;19.0;;;;;1;17;249;80.0;8.0;8.0;9.0;33;1724;0;1
2.0;2.0;2;1.0;1.0;1.0;22.0;;;;;2;5;0;100.0;10.0;10.0;10.0;2;639;0;1
1.0;1.0;4;1.0;0.0;2.0;60.0;360.0;1400.0;300.0;40.0;2;20;208;100.0;10.0;8.0;10.0;1;446;1;0
1.0;1.0;2;1.0;1.0;1.0;25.0;;;;;1;5;53;84.0;9.0;8.0;8.0;1;491;0;1
1.0;1.0;6;2.0;2.0;4.0;120.0;;;400.0;65.0;4;10;196;87.0;9.0;10.0;9.0;1;1085;1;0
9.0;9.0;4;2.0;1.0;4.0;58.0;;;;10.0;1;0;247;89.0;9.0;9.0;10.0;9;2028;0;1
10.0;10.0;4;1.0;0.0;2.0;47.0;300.0;1200.0;;20.0;2;8;329;92.0;9.0;9.0;10.0;10;765;1;0
9.0;9.0;2;1.0;1.0;2.0;45.0;;;150.0;15.0;1;8;138;95.0;10.0;10.0;10.0;7;1067;1;0
1.0;1.0;2;1.0;1.0;2.0;59.0;;;;;2;100;57;100.0;10.0;10.0;10.0;1;328;0;1
2.0;2.0;2;1.0;1.0;1.0;21.0;;;;;1;0;140;79.0;9.0;8.0;8.0;2;552;0;1
2.0;2.0;2;1.0;1.0;1.0;65.0;;;;25.0;1;0;98;;;;;2;977;1;0
1.0;1.0;2;1.0;1.0;1.0;35.0;;;;;1;10;345;92.0;10.0;8.0;10.0;1;966;0;1
1.0;1.0;2;1.0;1.0;1.0;29.0;;;200.0;;1;0;0;100.0;10.0;8.0;10.0;1;334;1;0
1.0;1.0;4;1.0;1.0;2.0;100.0;;1700.0;150.0;40.0;1;5;339;100.0;10.0;10.0;10.0;1;379;1;0
1.0;1.0;3;1.0;1.0;2.0;80.0;;;;;1;0;0;;;;;1;334;1;0
2.0;2.0;3;1.0;1.0;2.0;58.0;365.0;1500.0;;24.0;2;12;300;98.0;10.0;10.0;10.0;2;2027;1;0
4.0;4.0;2;1.0;1.0;1.0;75.0;;;300.0;30.0;1;0;176;;;;;3;1457;1;0
57.0;57.0;4;1.0;1.0;1.0;59.0;;;100.0;30.0;1;10;334;80.0;10.0;7.0;10.0;48;788;1;0
4.0;4.0;1;1.5;1.0;1.0;13.0;;;;;1;0;184;;;;;4;75;0;1
1.0;1.0;2;1.0;1.0;1.0;45.0;;;100.0;13.0;1;15;364;95.0;10.0;9.0;10.0;1;1944;0;1
207.0;207.0;4;1.0;0.0;1.0;112.0;;;;;1;0;0;;;;;67;452;1;0
2.0;2.0;2;1.5;1.0;1.0;34.0;;;;;1;0;81;96.0;10.0;10.0;10.0;2;1530;0;1
1.0;1.0;4;1.0;2.0;2.0;110.0;;;;20.0;1;0;120;;;;;1;1209;1;0
4.0;4.0;1;3.0;1.0;1.0;27.0;;;100.0;5.0;1;0;126;90.0;10.0;10.0;10.0;4;263;0;1
1.0;1.0;2;1.0;1.0;2.0;53.0;340.0;1221.0;100.0;38.0;1;10;125;98.0;10.0;10.0;10.0;1;538;1;0
1.0;1.0;4;1.0;1.0;2.0;45.0;;;;25.0;2;7;137;97.0;10.0;10.0;10.0;1;94;1;0
2.0;2.0;2;2.0;2.0;2.0;143.0;;;500.0;100.0;1;0;365;100.0;10.0;10.0;10.0;1;306;1;0
2.0;2.0;2;1.0;1.0;1.0;25.0;;;;8.0;3;15;330;93.0;10.0;9.0;10.0;1;744;0;1
9.0;9.0;6;2.0;3.0;3.0;169.0;;;150.0;50.0;1;0;199;98.0;10.0;10.0;10.0;7;1426;1;0
11.0;11.0;3;1.0;0.0;2.0;69.0;;;100.0;20.0;2;5;275;94.0;10.0;9.0;10.0;7;1327;1;0
1.0;1.0;1;1.0;1.0;1.0;20.0;;;100.0;;1;0;305;100.0;10.0;10.0;;1;150;0;1
1.0;1.0;2;1.0;0.0;2.0;35.0;;;;10.0;1;5;0;70.0;8.0;8.0;7.0;1;1164;1;0
207.0;207.0;2;1.0;0.0;1.0;55.0;;;;30.0;1;0;18;;;;;67;452;1;0
6.0;6.0;2;1.0;1.0;1.0;35.0;;;;;1;15;332;96.0;10.0;10.0;10.0;6;1822;0;1
2.0;2.0;1;1.0;1.0;1.0;20.0;;;;;1;10;31;85.0;10.0;9.0;10.0;2;1022;0;1
1.0;1.0;2;1.0;1.0;1.0;30.0;;;;;1;10;358;97.0;10.0;9.0;10.0;1;814;0;1
1.0;1.0;4;1.0;1.0;2.0;30.0;;;;;1;20;348;98.0;10.0;10.0;10.0;1;940;0;1
2.0;2.0;2;1.0;1.0;1.0;45.0;;;150.0;;1;0;0;97.0;10.0;10.0;10.0;2;1111;0;1
1.0;1.0;2;1.0;0.0;1.0;75.0;;;150.0;24.0;1;0;138;89.0;9.0;9.0;10.0;1;149;1;0
17.0;17.0;1;2.0;1.0;1.0;31.0;;;;;1;0;311;;;;;17;373;0;1
2.0;2.0;2;1.5;1.0;1.0;68.0;429.0;1600.0;300.0;45.0;1;0;135;95.0;10.0;10.0;10.0;1;1738;1;0
1.0;1.0;2;1.5;1.0;1.0;30.0;;;;20.0;1;15;340;90.0;10.0;9.0;9.0;1;970;0;1
1.0;1.0;2;1.0;1.0;1.0;49.0;;;;;1;0;310;100.0;10.0;10.0;10.0;1;60;1;0
2.0;2.0;2;1.0;0.0;1.0;50.0;;;100.0;20.0;2;15;66;96.0;10.0;10.0;10.0;2;200;1;0
2.0;2.0;2;1.0;1.0;1.0;60.0;;;;20.0;1;0;186;100.0;10.0;10.0;10.0;2;219;1;0
9.0;9.0;2;2.0;1.0;2.0;18.0;250.0;600.0;80.0;;1;10;0;87.0;9.0;9.0;10.0;9;1934;0;1
1.0;1.0;3;1.0;1.0;2.0;39.0;;;;;1;0;341;78.0;9.0;7.0;8.0;1;245;1;0
1.0;1.0;4;1.0;1.0;2.0;33.0;210.0;750.0;;20.0;2;5;33;79.0;8.0;8.0;9.0;1;1308;1;0
1.0;1.0;2;1.0;1.0;1.0;25.0;;;;;1;0;280;78.0;9.0;8.0;10.0;1;296;0;0
34.0;34.0;1;1.0;1.0;1.0;19.0;120.0;430.0;;;1;0;279;83.0;8.0;8.0;9.0;33;1724;0;1
3.0;3.0;5;1.0;3.0;5.0;70.0;;;;;1;0;278;87.0;9.0;9.0;9.0;3;1688;1;0
3.0;3.0;2;1.0;1.0;1.0;52.0;110.0;390.0;;;1;10;351;94.0;9.0;9.0;9.0;3;1110;0;1
1.0;1.0;4;2.0;2.0;3.0;200.0;;;200.0;40.0;1;0;330;100.0;10.0;9.0;10.0;1;758;1;0
4.0;4.0;8;2.0;1.0;6.0;94.0;;;500.0;75.0;2;11;309;;;;;3;2867;1;0
1.0;1.0;2;1.0;1.0;1.0;26.0;;;;;1;0;0;100.0;10.0;10.0;8.0;1;620;0;1
11.0;11.0;2;1.0;1.0;1.0;35.0;250.0;690.0;;25.0;1;0;101;;;;;10;867;0;1
1.0;1.0;2;1.0;1.0;1.0;60.0;;;;;1;0;0;;;;;1;739;1;0
1.0;1.0;1;1.0;1.0;1.0;23.0;;;;;1;0;83;;;;;1;304;0;1
2.0;2.0;2;2.0;1.0;1.0;27.0;;;;10.0;1;0;56;93.0;9.0;9.0;9.0;2;424;0;1
1.0;1.0;4;1.0;1.0;2.0;60.0;;;;15.0;1;0;245;96.0;10.0;10.0;9.0;1;773;1;0
2.0;2.0;2;1.0;1.0;;25.0;;;;;1;10;87;;;;;2;972;0;1
15.0;15.0;2;0.5;1.0;2.0;45.0;;;;;1;15;157;96.0;10.0;10.0;9.0;15;599;0;1
1.0;1.0;4;1.0;1.0;2.0;65.0;;;100.0;20.0;1;20;327;92.0;9.0;9.0;10.0;1;465;1;0
5.0;5.0;1;1.5;1.0;4.0;10.0;75.0;280.0;100.0;20.0;1;0;280;100.0;10.0;10.0;10.0;4;1316;0;1
3.0;3.0;1;1.0;1.0;1.0;40.0;;;;10.0;1;0;363;;;;;2;302;0;1
1.0;1.0;5;2.0;2.0;3.0;135.0;;;350.0;36.0;4;15;298;97.0;10.0;10.0;10.0;1;404;1;0
1.0;1.0;4;1.0;1.0;1.0;70.0;;;120.0;24.0;2;8;152;86.0;10.0;8.0;10.0;1;191;1;0
1.0;1.0;4;1.0;1.0;2.0;68.0;;;130.0;28.0;2;10;107;100.0;10.0;10.0;9.0;1;49;1;0
1.0;1.0;1;1.0;1.0;1.0;20.0;;;96.0;20.0;1;10;157;100.0;10.0;8.0;10.0;1;554;0;1
38.0;38.0;1;2.0;1.0;1.0;19.0;224.0;896.0;200.0;;1;0;10;;;;;38;732;0;1
1.0;1.0;4;1.5;2.0;2.0;100.0;500.0;2000.0;;30.0;4;15;230;95.0;10.0;10.0;10.0;1;1199;1;0
4.0;4.0;2;1.0;0.0;2.0;61.0;456.0;1599.0;100.0;25.0;1;0;319;92.0;9.0;10.0;10.0;4;1841;1;0
10.0;10.0;4;1.0;1.0;2.0;47.0;;;;40.0;2;10;9;91.0;10.0;10.0;10.0;9;605;1;0
4.0;4.0;2;1.0;1.0;1.0;40.0;250.0;900.0;;;1;10;357;92.0;9.0;10.0;9.0;4;1754;0;1
8.0;8.0;2;1.0;1.0;1.0;39.0;230.0;840.0;;12.0;1;6;87;89.0;9.0;8.0;9.0;8;1185;0;1
1.0;1.0;6;1.0;2.0;4.0;150.0;;;;;1;0;338;100.0;10.0;10.0;10.0;1;588;1;0
14.0;14.0;2;1.0;1.0;1.0;65.0;380.0;1351.0;;20.0;1;0;164;95.0;10.0;10.0;9.0;12;501;1;0
1.0;1.0;2;1.0;1.0;1.0;40.0;;;;;1;0;28;100.0;10.0;9.0;10.0;1;1188;0;1
15.0;15.0;2;1.0;1.0;1.0;14.0;;;;;1;6;64;;;;;3;491;0;1
1.0;1.0;1;1.0;1.0;1.0;31.0;190.0;750.0;100.0;;1;0;174;97.0;10.0;10.0;10.0;1;576;0;1
1.0;1.0;6;1.0;3.0;4.0;100.0;;;;20.0;7;15;140;94.0;10.0;9.0;10.0;1;1008;1;0
6.0;6.0;8;2.0;3.0;4.0;148.0;;;100.0;50.0;6;15;304;94.0;10.0;10.0;9.0;5;1573;1;0
46.0;46.0;2;1.0;1.0;1.0;31.0;;;100.0;50.0;1;0;356;65.0;7.0;6.0;8.0;44;933;1;0
1.0;1.0;7;2.0;3.0;5.0;150.0;;;;47.0;4;25;268;97.0;10.0;10.0;10.0;1;317;1;0
38.0;38.0;1;2.0;1.0;1.0;32.0;;;200.0;30.0;1;0;311;;;;;38;44;0;1
4.0;4.0;1;1.0;1.0;1.0;47.0;;;281.0;23.0;1;19;365;;;;;3;309;0;1
6.0;6.0;2;1.0;0.0;1.0;39.0;;;;;1;0;77;82.0;9.0;9.0;10.0;6;132;1;0
5.0;5.0;6;2.0;1.0;4.0;130.0;;;100.0;50.0;4;20;291;90.0;9.0;10.0;10.0;5;505;0;0
3.0;3.0;2;1.0;1.0;1.0;20.0;;;100.0;5.0;1;0;95;80.0;10.0;8.0;10.0;3;699;0;1
2.0;2.0;2;1.0;1.0;1.0;68.0;;;100.0;40.0;1;0;226;98.0;10.0;10.0;10.0;2;54;1;0
1.0;1.0;2;1.0;1.0;1.0;34.0;;;;;1;6;22;99.0;10.0;10.0;10.0;1;628;0;1
3.0;3.0;2;1.0;1.0;1.0;45.0;;;100.0;15.0;1;15;301;95.0;10.0;10.0;10.0;3;621;1;0
1.0;1.0;2;1.0;1.0;1.0;50.0;280.0;1120.0;;40.0;2;10;313;97.0;10.0;10.0;10.0;1;1308;0;1
1.0;1.0;4;1.5;2.0;2.0;95.0;599.0;1990.0;200.0;20.0;2;15;0;89.0;10.0;10.0;9.0;1;1677;1;0
1.0;1.0;4;1.0;2.0;2.0;80.0;;;;25.0;1;0;194;98.0;10.0;10.0;9.0;1;304;1;0
1.0;1.0;2;1.0;1.0;1.0;48.0;;;;5.0;1;0;166;95.0;10.0;10.0;10.0;1;703;0;1
2.0;2.0;4;1.0;1.0;2.0;130.0;;;500.0;70.0;2;10;354;;;;;2;418;1;0
1.0;1.0;2;1.0;1.0;1.0;45.0;300.0;;;15.0;1;0;0;;;;;1;1272;0;1
1.0;1.0;4;1.0;1.0;2.0;99.0;;;150.0;25.0;2;18;318;98.0;10.0;10.0;10.0;1;155;1;0
2.0;2.0;2;1.0;1.0;2.0;22.0;;;;5.0;1;15;78;100.0;10.0;10.0;9.0;1;439;0;1
1.0;1.0;2;1.0;1.0;1.0;40.0;;;;;1;0;275;97.0;10.0;10.0;10.0;1;939;0;1
2.0;2.0;1;1.0;1.0;1.0;39.0;;;;;1;0;281;98.0;10.0;10.0;10.0;1;523;0;1
1.0;1.0;2;1.0;1.0;1.0;35.0;;;150.0;20.0;2;0;344;100.0;10.0;10.0;10.0;1;1855;0;1
3.0;3.0;4;1.0;2.0;4.0;80.0;490.0;;;;2;10;318;93.0;9.0;9.0;9.0;3;1209;1;0
1.0;1.0;6;2.0;2.0;3.0;120.0;;;;40.0;4;10;142;90.0;10.0;10.0;10.0;1;391;1;0
1.0;1.0;4;1.0;2.0;2.0;50.0;;;;;1;0;36;96.0;10.0;10.0;9.0;1;168;1;0
3.0;3.0;2;1.0;1.0;1.0;45.0;215.0;575.0;400.0;;1;0;365;83.0;9.0;7.0;9.0;3;1034;0;1
14.0;14.0;2;1.0;0.0;1.0;43.0;280.0;950.0;;12.0;1;0;85;93.0;10.0;10.0;9.0;12;501;1;0
24.0;24.0;8;2.0;3.0;5.0;179.0;;;100.0;35.0;6;0;212;93.0;10.0;10.0;10.0;21;646;1;0
7.0;7.0;3;1.0;1.0;2.0;75.0;;;100.0;25.0;2;12;344;100.0;10.0;10.0;10.0;7;1068;1;0
1.0;1.0;4;2.5;2.0;2.0;150.0;;;90.0;40.0;1;0;298;96.0;10.0;10.0;10.0;1;978;1;0
2.0;2.0;5;1.0;3.0;3.0;85.0;;;;;1;0;333;92.0;9.0;9.0;8.0;1;326;1;0
2.0;2.0;2;1.0;1.0;1.0;65.0;500.0;1900.0;250.0;15.0;1;0;63;97.0;10.0;10.0;10.0;2;1268;0;1
2.0;2.0;5;1.0;2.0;4.0;119.0;;;200.0;40.0;4;15;326;96.0;10.0;10.0;10.0;1;405;1;0
14.0;14.0;2;1.0;1.0;1.0;125.0;780.0;;;;1;0;335;60.0;8.0;8.0;9.0;5;1360;1;0
1.0;1.0;4;1.0;1.0;2.0;55.0;390.0;950.0;;;1;0;230;92.0;9.0;9.0;10.0;1;933;1;0
2.0;2.0;1;1.0;1.0;1.0;35.0;;;100.0;;1;0;361;77.0;8.0;8.0;8.0;2;537;0;1
1.0;1.0;3;1.0;1.0;2.0;40.0;;;100.0;20.0;2;10;64;96.0;9.0;10.0;9.0;1;126;1;0
1.0;1.0;2;1.0;1.0;2.0;37.0;;;;;1;8;364;;;;;1;287;0;1
2.0;2.0;1;1.0;1.0;1.0;25.0;180.0;500.0;;10.0;1;0;310;100.0;10.0;10.0;10.0;2;1473;0;1
1.0;1.0;3;1.0;1.0;2.0;50.0;;;;25.0;2;10;305;92.0;10.0;10.0;10.0;1;2017;1;0
2.0;2.0;3;1.0;1.0;2.0;24.0;;;;;2;10;353;95.0;9.0;8.0;10.0;2;1072;0;1
38.0;38.0;2;2.0;1.0;1.0;25.0;280.0;1120.0;200.0;;1;0;10;;;;;38;732;0;1
1.0;1.0;1;1.0;1.0;1.0;40.0;;;;;1;0;331;;;;;1;585;0;1
16.0;16.0;4;1.0;2.0;2.0;99.0;;;100.0;30.0;4;0;294;93.0;10.0;10.0;10.0;16;1012;1;0
142.0;142.0;2;2.0;2.0;3.0;139.0;;;;77.0;2;26;202;100.0;10.0;10.0;10.0;77;1667;1;0
2.0;2.0;4;2.0;2.0;2.0;95.0;;;180.0;30.0;1;0;105;;;;;1;577;1;0
26.0;26.0;3;1.0;0.0;3.0;60.0;;;;;1;0;320;80.0;9.0;9.0;;26;1383;1;0
1.0;1.0;1;1.0;1.0;1.0;27.0;;;;;1;0;348;94.0;9.0;10.0;10.0;1;368;0;1
2.0;2.0;3;1.0;1.0;1.0;50.0;320.0;895.0;90.0;25.0;2;20;258;89.0;9.0;9.0;9.0;1;2094;1;0
2.0;2.0;2;1.0;1.0;1.0;20.0;;;;;1;20;362;97.0;9.0;10.0;10.0;2;293;0;1
1.0;1.0;1;1.0;1.0;1.0;48.0;;;;;1;0;175;;;;;1;160;0;1
1.0;1.0;2;1.0;1.0;1.0;50.0;;;;;1;0;364;;;;;1;249;0;1
26.0;26.0;1;3.0;1.0;1.0;36.0;;;200.0;30.0;1;0;311;;;;;26;44;0;1
