Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
2.0;2.0;2.0;1.0;1.0;1.0;23.0;131.0;592.0;120.0;10.0;1.0;10.0;72.0;93.0;9.0;9.0;9.0;2.0;153.0;0.0;1.0
9.0;9.0;2.0;2.0;1.0;1.0;30.0;231.99999999999994;659.0;111.0;10.0;1.0;0.0;91.0;90.99999999999999;10.0;9.0;10.0;9.0;2028.0000000000002;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;33.00000000000001;185.0;740.0;111.0;10.0;1.0;0.0;248.0;98.0;10.0;10.0;10.0;1.0;1367.0;0.0;1.0
1.0;1.0;8.0;3.4999999999999996;4.0;5.999999999999999;180.0;591.8000000000001;3271.9999999999995;276.0;39.0;1.0;0.0;18.0;90.99999999999999;9.0;9.0;9.0;1.0;1099.0;1.0;0.0
1.0;1.0;2.0;1.0;1.0;2.0;27.0;134.0;522.6;122.0;12.0;1.0;19.0;311.0;84.0;8.0;9.0;9.0;1.0;272.0;0.0;1.0
2.0;2.0;5.0;1.0;3.0000000000000004;4.0;98.0;438.0;1316.6000000000001;172.79999999999998;20.0;1.0;0.0;277.0;92.0;10.0;10.0;10.0;2.0;596.0;1.0;0.0
1.0;1.0;5.0;1.0;3.0000000000000004;3.0;80.0;625.9999999999999;2268.0;154.8;25.0;2.0;30.0;331.0;92.0;9.0;9.0;10.0;1.0;2418.0;1.0;0.0
1.0;1.0;5.999999999999999;2.0;2.0;3.0;75.0;538.0;1800.0;150.0;30.0;2.0;10.0;258.0;95.0;10.0;9.0;10.0;1.0;1768.0000000000002;1.0;0.0
1.0;1.0;2.0;1.5;1.0;1.0;40.0;240.0;620.5999999999999;91.0;15.0;1.0;30.0;347.0;95.0;9.0;9.0;9.0;1.0;830.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;25.0;181.6;534.0;120.0;10.0;1.0;0.0;0.0;92.10447761194028;9.2;9.2;9.8;1.0;987.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;22.0;159.6;560.6;150.0;9.0;1.0;20.0;283.0;99.0;10.0;10.0;10.0;1.0;648.0;0.0;1.0
12.0;12.0;5.999999999999999;1.0;2.0;3.0;80.0;494.99999999999994;2048.6;199.99999999999997;35.0;4.0;20.0;206.0;96.00000000000001;10.0;10.0;9.0;12.0;477.0;1.0;0.0
2.0;2.0;2.0;1.0;1.0;1.0;45.0;166.0;549.9999999999999;105.0;15.0;1.0;0.0;337.0;100.0;10.0;8.0;8.0;2.0;469.0;0.0;1.0
1.0;1.0;2.9999999999999996;1.0;3.0000000000000004;2.0;70.0;389.8;1280.6000000000001;154.8;12.0;1.0;0.0;323.0;98.0;10.0;10.0;9.0;1.0;1007.0;1.0;0.0
